version,social,map,prior,global_step,epoch,total_params,trainable_params,flops_per_fwd_bs32,avg_inference_ms_bs32,avg_inference_ms_per_sample
version_0,gat,,,84420,5,565842,565842,1886475264,9.383575057983398,0.2932367205619812
version_1,gat,,density,111153,7,649107,649107,2027217920,10.877364425659179,0.33991763830184935
version_2,gat,,path,81606,5,2716039,649107,7164430976,13.278879318237305,0.4149649786949158
version_3,gat,,cluster,112560,7,1858963,649107,7202069120,15.407102661132813,0.4814719581604004
version_4,pool,,,80199,5,542226,542226,1880473600,18.63085506439209,0.5822142207622528
version_5,pool,,density,78153,5,625491,625491,2021216256,20.122577247619628,0.6288305389881134
version_6,pool,,path,75978,5,2692423,625491,7158429312,22.229182052612305,0.6946619391441345
version_7,pool,,cluster,52059,3,1835347,625491,7196067456,23.080346946716308,0.7212608420848846
version_8,,,,63315,4,475921,475921,1876279296,7.858774394989013,0.24558669984340667
version_9,,,density,112560,7,559186,559186,2017021952,9.494825592041016,0.29671329975128174
version_10,,,path,75978,5,2626118,559186,7154235008,12.16816255569458,0.38025507986545565
version_11,,,cluster,132258,9,1769042,559186,7191873152,13.622743682861328,0.4257107400894165
version_12,gat,cnn,density,95676,6,733572,733572,2175640576,11.189706211090089,0.34967831909656527
version_13,gat,cnn,path,40803,2,2800504,733572,7312853632,14.065153923034668,0.43953606009483337
version_14,gat,cnn,cluster,95676,6,1943428,733572,7350491776,16.04639940261841,0.5014499813318253
version_15,gat,atte,density,128037,9,790276,790276,3953255424,11.741856594085693,0.3669330185651779
version_16,gat,atte,path,112560,7,2857208,790276,9090468480,14.552047367095946,0.4547514802217483
version_17,gat,atte,cluster,87234,6,2000132,790276,9128106624,14.313459758758546,0.44729561746120455
version_18,pool,cnn,density,39396,2,709956,709956,2169638912,20.538675842285155,0.6418336200714111
version_19,pool,cnn,path,62981,4,2776888,709956,7306851968,22.661394577026368,0.708168580532074
version_20,pool,cnn,cluster,61908,4,1919812,709956,7344490112,24.260809783935546,0.7581503057479858
version_21,pool,atte,density,67536,4,766660,766660,3947253760,20.451593551635742,0.639112298488617
version_22,pool,atte,path,70350,4,2833592,766660,9084466816,24.132790985107423,0.754149718284607
version_23,pool,atte,cluster,74431,5,1976516,766660,9122104960,23.739346618652345,0.7418545818328858
version_24,,cnn,density,106932,7,643651,643651,2165444608,9.893850288391114,0.3091828215122223
version_25,,cnn,path,83013,5,2710583,643651,7302657664,12.727899551391602,0.39774686098098755
version_26,,cnn,cluster,42210,2,1853507,643651,7340295808,14.59710777282715,0.4561596179008484
version_27,,atte,density,106932,7,700355,700355,3943059456,10.221752948760987,0.31942977964878083
version_28,,atte,path,71757,5,2767287,700355,9080272512,12.637003517150879,0.39490635991096495
version_29,,atte,cluster,81606,5,1910211,700355,9117910656,14.48513277053833,0.4526603990793228
