version,final_step,final_epoch,elapsed_hours,hit_10h_budget
version_0,88599,6.0,1.348,False
version_1,115349,8.0,1.729,False
version_2,85799,6.0,1.42,False
version_3,116749,8.0,1.923,False
version_4,80199,5.0,10.006,True
version_5,78152,5.0,9.994,True
version_6,79823,5.0,9.994,True
version_7,56249,3.0,7.468,False
version_8,67499,4.0,1.875,False
version_9,116749,8.0,3.244,False
version_10,80149,5.0,2.3,False
version_11,136449,9.0,3.982,False
version_12,99849,7.0,3.045,False
version_13,44999,3.0,1.515,False
version_14,99849,7.0,3.707,False
version_15,132249,9.0,4.201,False
version_16,116749,8.0,4.057,False
version_17,91449,6.0,3.678,False
version_18,41504,2.0,9.992,True
version_19,62980,4.0,9.993,True
version_20,62208,4.0,9.992,True
version_21,67968,4.0,9.993,True
version_22,73026,5.0,9.994,True
version_23,74430,5.0,9.994,True
version_24,111149,7.0,3.004,False
version_25,87199,6.0,2.509,False
version_26,46399,3.0,1.357,False
version_27,111149,7.0,3.211,False
version_28,75949,5.0,2.341,False
version_29,85799,6.0,2.52,False
