step,tag,value
49,train_loss,1.9087259769439697
99,train_loss,1.8616979122161865
149,train_loss,1.7500677108764648
199,train_loss,0.718636155128479
249,train_loss,-0.16566219925880432
299,train_loss,-0.24905666708946228
349,train_loss,-0.28302958607673645
399,train_loss,-0.8046820163726807
449,train_loss,-1.1837984323501587
499,train_loss,-1.3888591527938843
549,train_loss,-1.52376389503479
599,train_loss,-1.6962687969207764
649,train_loss,-1.8548569679260254
699,train_loss,-1.7969304323196411
749,train_loss,-2.00925874710083
799,train_loss,-1.931227445602417
849,train_loss,-2.0658159255981445
899,train_loss,-2.1446144580841064
949,train_loss,-2.1548447608947754
999,train_loss,-1.8131591081619263
1049,train_loss,-2.131688117980957
1099,train_loss,-2.0990617275238037
1149,train_loss,-2.1151609420776367
1199,train_loss,-2.200995922088623
1249,train_loss,-1.8140310049057007
1299,train_loss,-2.125884532928467
1349,train_loss,-2.2088096141815186
1399,train_loss,-2.289998769760132
1449,train_loss,-2.0708320140838623
1499,train_loss,-2.3428030014038086
1549,train_loss,-2.215996503829956
1599,train_loss,-2.3508408069610596
1649,train_loss,-2.4351041316986084
1699,train_loss,-2.3145787715911865
1749,train_loss,-1.3713958263397217
1799,train_loss,-2.5444302558898926
1849,train_loss,-2.4386119842529297
1899,train_loss,-2.3939788341522217
1949,train_loss,-2.5515124797821045
1999,train_loss,-2.6579155921936035
2049,train_loss,-2.6351475715637207
2099,train_loss,-2.636215925216675
2149,train_loss,-2.3441691398620605
2199,train_loss,-2.6248388290405273
2249,train_loss,-2.3500990867614746
2299,train_loss,-2.620082378387451
2349,train_loss,-2.157458782196045
2399,train_loss,-2.247375726699829
2449,train_loss,-2.64333438873291
2499,train_loss,-2.6259188652038574
2549,train_loss,-2.725023031234741
2599,train_loss,-2.6556568145751953
2649,train_loss,-2.7703964710235596
2699,train_loss,-2.5872716903686523
2749,train_loss,-2.5657310485839844
2799,train_loss,-2.673530101776123
2849,train_loss,-2.796250343322754
2899,train_loss,-2.698385238647461
2949,train_loss,-2.6076865196228027
2999,train_loss,-2.777803897857666
3049,train_loss,-2.6572792530059814
3099,train_loss,-2.6598963737487793
3149,train_loss,-2.627608060836792
3199,train_loss,-2.531675100326538
3249,train_loss,-2.840545654296875
3299,train_loss,-2.7433204650878906
3349,train_loss,-2.7717623710632324
3399,train_loss,-2.6935367584228516
3449,train_loss,-2.849714517593384
3499,train_loss,-2.7677788734436035
3549,train_loss,-2.507805347442627
3599,train_loss,-2.8324341773986816
3649,train_loss,-2.8688836097717285
3699,train_loss,-2.774451732635498
3749,train_loss,-2.866380214691162
3799,train_loss,-2.9108924865722656
3849,train_loss,-2.9359302520751953
3899,train_loss,-2.78904128074646
3949,train_loss,-2.8348000049591064
3999,train_loss,-2.6616272926330566
4049,train_loss,-2.854768753051758
4099,train_loss,-2.7533273696899414
4149,train_loss,-2.882075309753418
4199,train_loss,-2.711477518081665
4249,train_loss,-2.8071396350860596
4299,train_loss,-2.7447361946105957
4349,train_loss,-2.8825321197509766
4399,train_loss,-2.900222063064575
4449,train_loss,-2.7484629154205322
4499,train_loss,-2.6967122554779053
4549,train_loss,-2.7612390518188477
4599,train_loss,-2.8499162197113037
4649,train_loss,-2.810804843902588
4699,train_loss,-2.721829652786255
4749,train_loss,-2.8736584186553955
4799,train_loss,-2.9243085384368896
4849,train_loss,-2.930337429046631
4899,train_loss,-2.954423666000366
4949,train_loss,-2.914698362350464
4999,train_loss,-2.8712332248687744
5049,train_loss,-2.92987060546875
5099,train_loss,-2.5871708393096924
5149,train_loss,-2.93118953704834
5199,train_loss,-3.0307717323303223
5249,train_loss,-3.019533395767212
5299,train_loss,-2.9157824516296387
5349,train_loss,-3.0485801696777344
5399,train_loss,-2.9529950618743896
5449,train_loss,-3.0450778007507324
5499,train_loss,-2.88387131690979
5549,train_loss,-2.9704761505126953
5599,train_loss,-2.956214666366577
5649,train_loss,-3.081791639328003
5699,train_loss,-2.919537305831909
5749,train_loss,-2.9278571605682373
5799,train_loss,-2.981743335723877
5849,train_loss,-3.0094876289367676
5899,train_loss,-2.8744256496429443
5949,train_loss,-3.0917623043060303
5999,train_loss,-2.9623825550079346
6049,train_loss,-2.8914082050323486
6099,train_loss,-3.0050957202911377
6149,train_loss,-2.9713265895843506
6199,train_loss,-2.9720985889434814
6249,train_loss,-3.012226104736328
