experiment,version,final_step,final_epoch,elapsed_hours,max_seconds,hit_time_budget
baselines,version_4,42199,2.0,1.275,36000.0,False
desire,version_0,61799,4.0,2.801,,
desire_continued,version_0,142099,10.0,8.432,,
isstgcnn,version_0,95649,1.0,0.923,36000.0,False
isstgcnn,version_1,95649,1.0,0.933,36000.0,False
isstgcnn,version_2,112549,1.0,1.218,36000.0,False
isstgcnn,version_3,135049,2.0,1.501,36000.0,False
isstgcnn,version_4,106899,1.0,2.867,36000.0,False
isstgcnn,version_5,140699,2.0,4.039,36000.0,False
nereus_ablation,version_0,88599,6.0,1.348,36000.0,False
nereus_ablation,version_1,115349,8.0,1.729,36000.0,False
nereus_ablation,version_2,85799,6.0,1.42,36000.0,False
nereus_ablation,version_3,116749,8.0,1.923,36000.0,False
nereus_ablation,version_4,80199,5.0,10.006,36000.0,True
nereus_ablation,version_5,78152,5.0,9.994,36000.0,True
nereus_ablation,version_6,79823,5.0,9.994,36000.0,True
nereus_ablation,version_7,56249,3.0,7.468,36000.0,False
nereus_ablation,version_8,67499,4.0,1.875,36000.0,False
nereus_ablation,version_9,116749,8.0,3.244,36000.0,False
nereus_ablation,version_10,80149,5.0,2.3,36000.0,False
nereus_ablation,version_11,136449,9.0,3.982,36000.0,False
nereus_ablation,version_12,99849,7.0,3.045,36000.0,False
nereus_ablation,version_13,44999,3.0,1.515,36000.0,False
nereus_ablation,version_14,99849,7.0,3.707,36000.0,False
nereus_ablation,version_15,132249,9.0,4.201,36000.0,False
nereus_ablation,version_16,116749,8.0,4.057,36000.0,False
nereus_ablation,version_17,91449,6.0,3.678,36000.0,False
nereus_ablation,version_18,41504,2.0,9.992,36000.0,True
nereus_ablation,version_19,62980,4.0,9.993,36000.0,True
nereus_ablation,version_20,62208,4.0,9.992,36000.0,True
nereus_ablation,version_21,67968,4.0,9.993,36000.0,True
nereus_ablation,version_22,73026,5.0,9.994,36000.0,True
nereus_ablation,version_23,74430,5.0,9.994,36000.0,True
nereus_ablation,version_24,111149,7.0,3.004,36000.0,False
nereus_ablation,version_25,87199,6.0,2.509,36000.0,False
nereus_ablation,version_26,46399,3.0,1.357,36000.0,False
nereus_ablation,version_27,111149,7.0,3.211,36000.0,False
nereus_ablation,version_28,75949,5.0,2.341,36000.0,False
nereus_ablation,version_29,85799,6.0,2.52,36000.0,False
nereus_ablation_continued,version_0,88599,6.0,0.059,,
nereus_ablation_continued,version_1,119549,8.0,0.152,,
nereus_ablation_continued,version_2,99849,7.0,0.302,,
nereus_ablation_continued,version_3,135049,9.0,0.364,,
nereus_ablation_continued,version_4,97049,6.0,1.087,,
nereus_ablation_continued,version_5,108299,7.0,1.968,,
nereus_ablation_continued,version_6,115349,8.0,2.663,,
nereus_ablation_continued,version_7,140699,9.0,5.986,,
nereus_ablation_continued,version_8,78749,5.0,0.219,,
nereus_ablation_continued,version_9,116749,8.0,0.057,,
nereus_ablation_continued,version_10,95649,6.0,333.699,,
nereus_ablation_continued,version_11,136449,9.0,0.063,,
nereus_ablation_continued,version_12,108299,7.0,0.193,,
nereus_ablation_continued,version_13,80149,5.0,0.67,,
nereus_ablation_continued,version_14,105499,7.0,0.172,,
nereus_ablation_continued,version_15,132249,9.0,0.061,,
nereus_ablation_continued,version_16,123799,8.0,0.202,,
nereus_ablation_continued,version_17,91449,6.0,0.07,,
nereus_ablation_continued,version_18,136449,9.0,7.105,,
nereus_ablation_continued,version_19,88599,6.0,1.872,,
traisformer_ar,version_0,191349,3.0,3.181,36000.0,False
