experiment,version,model,params_M,GFLOPs_bs32,inference_ms_bs32,inference_ms_per_sample,train_steps,train_hours,hit_10h_budget
baselines,version_4,GRU,0.47,1.16,8.67,0.271,42199,1.275,False
desire,version_0,DESIRE,3.76,25.32,23.38,0.731,61799,2.801,
nereus_ablation,version_0,"NEREUS(social=gat, map=-, prior=-)",0.57,1.89,9.38,0.293,88599,1.348,False
nereus_ablation,version_1,"NEREUS(social=gat, map=-, prior=density)",0.65,2.03,10.88,0.34,115349,1.729,False
nereus_ablation,version_10,"NEREUS(social=-, map=-, prior=path)",2.63,7.15,12.17,0.38,80149,2.3,False
nereus_ablation,version_11,"NEREUS(social=-, map=-, prior=cluster)",1.77,7.19,13.62,0.426,136449,3.982,False
nereus_ablation,version_12,"NEREUS(social=gat, map=cnn, prior=density)",0.73,2.18,11.19,0.35,99849,3.045,False
nereus_ablation,version_13,"NEREUS(social=gat, map=cnn, prior=path)",2.8,7.31,14.07,0.44,44999,1.515,False
nereus_ablation,version_14,"NEREUS(social=gat, map=cnn, prior=cluster)",1.94,7.35,16.05,0.501,99849,3.707,False
nereus_ablation,version_15,"NEREUS(social=gat, map=atte, prior=density)",0.79,3.95,11.74,0.367,132249,4.201,False
nereus_ablation,version_16,"NEREUS(social=gat, map=atte, prior=path)",2.86,9.09,14.55,0.455,116749,4.057,False
nereus_ablation,version_17,"NEREUS(social=gat, map=atte, prior=cluster)",2.0,9.13,14.31,0.447,91449,3.678,False
nereus_ablation,version_18,"NEREUS(social=pool, map=cnn, prior=density)",0.71,2.17,20.54,0.642,41504,9.992,True
nereus_ablation,version_19,"NEREUS(social=pool, map=cnn, prior=path)",2.78,7.31,22.66,0.708,62980,9.993,True
nereus_ablation,version_2,"NEREUS(social=gat, map=-, prior=path)",2.72,7.16,13.28,0.415,85799,1.42,False
nereus_ablation,version_20,"NEREUS(social=pool, map=cnn, prior=cluster)",1.92,7.34,24.26,0.758,62208,9.992,True
nereus_ablation,version_21,"NEREUS(social=pool, map=atte, prior=density)",0.77,3.95,20.45,0.639,67968,9.993,True
nereus_ablation,version_22,"NEREUS(social=pool, map=atte, prior=path)",2.83,9.08,24.13,0.754,73026,9.994,True
nereus_ablation,version_23,"NEREUS(social=pool, map=atte, prior=cluster)",1.98,9.12,23.74,0.742,74430,9.994,True
nereus_ablation,version_24,"NEREUS(social=-, map=cnn, prior=density)",0.64,2.17,9.89,0.309,111149,3.004,False
nereus_ablation,version_25,"NEREUS(social=-, map=cnn, prior=path)",2.71,7.3,12.73,0.398,87199,2.509,False
nereus_ablation,version_26,"NEREUS(social=-, map=cnn, prior=cluster)",1.85,7.34,14.6,0.456,46399,1.357,False
nereus_ablation,version_27,"NEREUS(social=-, map=atte, prior=density)",0.7,3.94,10.22,0.319,111149,3.211,False
nereus_ablation,version_28,"NEREUS(social=-, map=atte, prior=path)",2.77,9.08,12.64,0.395,75949,2.341,False
nereus_ablation,version_29,"NEREUS(social=-, map=atte, prior=cluster)",1.91,9.12,14.49,0.453,85799,2.52,False
nereus_ablation,version_3,"NEREUS(social=gat, map=-, prior=cluster)",1.86,7.2,15.41,0.481,116749,1.923,False
nereus_ablation,version_4,"NEREUS(social=pool, map=-, prior=-)",0.54,1.88,18.63,0.582,80199,10.006,True
nereus_ablation,version_5,"NEREUS(social=pool, map=-, prior=density)",0.63,2.02,20.12,0.629,78152,9.994,True
nereus_ablation,version_6,"NEREUS(social=pool, map=-, prior=path)",2.69,7.16,22.23,0.695,79823,9.994,True
nereus_ablation,version_7,"NEREUS(social=pool, map=-, prior=cluster)",1.84,7.2,23.08,0.721,56249,7.468,False
nereus_ablation,version_8,"NEREUS(social=-, map=-, prior=-)",0.48,1.88,7.86,0.246,67499,1.875,False
nereus_ablation,version_9,"NEREUS(social=-, map=-, prior=density)",0.56,2.02,9.49,0.297,116749,3.244,False
traisformer_ar,version_0,TrAISformer-AR,3.64,82.41,51.26,1.602,191349,3.181,False
